prop_handle,description,enum_count,enum_values
snomed_disease_code,A 9-digit numerical code for the primary disease with which the participant,51,17788007|445448008|128827005|35917007|443961001|70594002|254838004|428054006|269533000|408645001|93655004|37138001|276803003|372138000|276870001|408647009|408643008|89740008|254626006|448993007|24482001|254849005|2092003|372244006|72495009|55921005a|55921005|188717001|253000007|2142002|254731001|254637007|128922003|109989006|55921005b|399490008|254900004|399068003|399730005|254582000|74364000|254632001|254633006|28899001|402815007|254634000|254730000|706970001|255084004|444604002|447782002
stage_of_disease,"Stage group determined from clinical information on the tumor (T), regional",9,Stage III|Stage IIIA|Stage IIIB|Stage IIIC|Stage IV|Stage IVA|Stage IVB|Stage IVC|NA
tumor_grade,A text term to express the degree of abnormality of cancer cells as a measure,6,Grade cannot be assessed|Borderline malignancy|Well Differentiated|Moderately Differentiated|Poorly Differentiated|Undifferentiated grade
best_response_to_targeted_therapy,The result of an evaluation to determine the most clinically favorable response to treatment.. <br>CDE ID = 15179918,9,Complete Response|Partial Response|Less than partial response|Stable Disease|Progressive Disease|Not Assessed|Too Early|Not Evaluable|Unknown
best_response_to_non_targeted_therapy,The result of an evaluation to determine the most clinically favorable response to treatment. <br>CDE ID = 15179918,9,Complete Response|Partial Response|Less than partial response|Stable Disease|Progressive Disease|Not Assessed|Too Early|Not Evaluable|Unknown
surgical_procedure_therapeutic,A response which indicates whether the administration of a therapeutic,2,Yes|No
best_response_to_radiotherapy,The result of an evaluation to determine the most clinically favorable response to treatment.  <br>CDE ID = 15179918,9,Complete Response|Partial Response|Less than partial response|Stable Disease|Progressive Disease|Not Assessed|Too Early|Not Evaluable|Unknown
survival_status,The participant's survival state as being living or deceased. <br>CDE,7,"ALIVE|DEAD|UNKNOWN|Alive with Disease|Alive with No Evidence of Disease|Alive, Disease Status Unknown|Dead"
off_study,A response that indicates whether or not an individual is receiving protocol,3,Yes|No|Unknown
off_study_reason,An explanation describing why an individual is no longer receiving protocol,40,ADVERSE EVENT|APPROVED DRUG AVAILABLE FOR INDICATION|COMPLETED|DEATH|DISEASE RELAPSE|FAILURE TO MEET CONTINUATION CRITERIA|FAILURE TO MEET RANDOMIZATION CRITERIA|LACK OF EFFICACY|LOGISTICAL PROBLEM|LOST TO FOLLOW-UP|MET ELIGIBILITY CRITERIA BUT NOT NEEDED|NEVER DOSED|NO LONGER CLINICALLY BENEFITING|NON-COMPLIANCE WITH NON-STUDY DEVICE|NON-COMPLIANCE WITH STUDY DEVICE|NON-COMPLIANCE WITH STUDY DRUG|NON-COMPLIANCE WITH STUDY SCHEDULE|OTHER|PARTNER PREGNANCY|PHYSICIAN DECISION|PREGNANCY|PROGRESSIVE DISEASE|PROTOCOL DEVIATION|PROTOCOL VIOLATION|PROTOCOL-SPECIFIED WITHDRAWAL CRITERION MET|RANDOMIZED BY MISTAKE|RANDOMIZED BY MISTAKE WITH STUDY TREATMENT|RANDOMIZED BY MISTAKE WITHOUT STUDY TREATMENT|RECOVERY|REQUIRES PROHIBITED MEDICATION|SCREEN FAILURE|SCREENING NOT COMPLETED|SITE TERMINATED BY SPONSOR|SPONSOR REQUEST|STUDY TERMINATED BY SPONSOR|TECHNICAL PROBLEMS|WITHDRAWAL BY PARENT/GUARDIAN|WITHDRAWAL BY SUBJECT|WITHDRAWAL OF ASSENT|WITHDRAWAL OF CONSENT
specimen_type,The kind of material that forms the parent sample as captured in the Ontology,15,Bone Marrow Aspirate|Cell Block|EDTA Blood|FFPE Block|Formalin Bone Marrow Biopsy|Formalin Fixed Tissue|FORMALIN FIXED TISSUE|Snap Frozen Tissue|Stained Bone Marrow Aspirate Slide|Streck Blood|Streck Blood to VARI|Unstained Bone Marrow Aspirate Slide|Unstained Slide|Fresh Tissue in Media to PDMR|Streck Blood to PDMR
specimen_category,The biospecimen grouping that describes the kind of material that forms,18,BLOOD|Blood|BONE MARROW|Bone Marrow|BUCCAL CELL SAMPLE|CEREBROSPINAL FLUID|FORMALIN FIXED PARAFFIN EMBEDDED TISSUE|Formalin Fixed Paraffin Embedded Tissue|FORMALIN FIXED TISSUE|Formalin Fixed Tissue|FRESH TISSUE|Fresh Tissue|FROZEN TISSUE|Frozen Tissue|OTHER BODILY FLUIDs|SALIVA|STOOL|URINE
tissue_category,A text term based on categorization of cytologic atypia found in cellular,4,Metastatic|Normal|Primary|Adjacent Non-Tumor
assessment_timepoint,"A specific point in the time continuum, including those established relative",9,ARCHIVAL|BASELINE|ON TREATMENT|PROGRESSION|Baseline (Fresh)|On Treatment (Fresh)|Archival|Progression (Fresh)|Post-Treatment (No progression)
quality_of_specimen,The final state of a sample which is based on an evaluation of its quality.,1,https://cadsr.cancer.gov/onedata/Home.jsp
assay_type,The type of assay performed on the biospecimen.,3,Next Generation Sequencing|Immune|Cell Based
assay_subtype,The subtype of assay performed on the biospecimen.,15,atacseq|rnaseq|scrnaseq|visium|wes|tcr|cytof|elisa|nulisa|cdtdna|olink|ihc|mibi|hande|microbiome
qc_status,Overall quality control flag based on predefined thresholds.,2,pass|fail
sequencing_platform,The sequencing technology platform used to generate the sequencing data.,10,Illumina NovaSeq 6000|Illumina NextSeq 550|Illumina HiSeq 4000|Illumina HiSeq 2500|Illumina HiSeq X Ten|Illumina NextSeq 2000|Illumina NovaSeq 500|Illumina MiSeq|PacBio Sequel II|Oxford Nanopore PromethION
paired_end_sequencing,"Indicates whether the sequencing was performed using paired-end reads,",2,Yes|No
azimuth_reference_genome_version,The version of the reference genome used for aligning sequencing reads,14,Human PBMC|Human Motor Cortex|Mouse Motor Cortex|Human Pancreas|Human Fetal Development|Human Kidney|Human Bone Marrow|Human Lung v2 (HLCA)|Human Adipose|Human Heart|Human Liver|Human Tonsil v2|Mouse Pansci|None
tabula_sapiens_reference_genome_version,The version of the Tabula Sapiens reference genome used for aligning,3,Tabula Sapiens v1.0|Tabula Sapiens v2.0|None
antigen_type,The type of antigen targeted in the immune assay.,4,Protein|Peptide|RNA|Other
positive_cell_detection,The model used for positive cell detection used in the cell based assay.,3,Proprietary|Random Forest Classifier|Other
data_file_type,The type of information contained in an electronic record. A curated indicator,6,Clinical Report|File Collection|Investigator Report|Variant Call File|Variant Report|Radiology Images
data_file_format,A defined organization or layout representing and structuring data in a,6,docx|gz|pdf|vcf|zip|dcm
data_file_checksum_type,The method by which the file checksum was calculated. <br>CDE ID = 11475057,3,md5sum|sha1|sha256
data_file_compression_status,The state of data when saved to storage space or during data transmission.,3,Compressed|Uncompressed|Unknown
