prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
race,White,White,The text for reporting information about race based on the Office of Management,CTDC,1.22.2-5c0d1c3,demographic
race,Not Reported,Not Reported,The text for reporting information about race based on the Office of Management,CTDC,1.22.2-5c0d1c3,demographic
race,Unknown,Unknown,The text for reporting information about race based on the Office of Management,CTDC,1.22.2-5c0d1c3,demographic
ethnicity,Hispanic or Latino,Hispanic or Latino,The text for reporting information about ethnicity based on the Office,CTDC,1.22.2-5c0d1c3,demographic
ethnicity,Not Hispanic or Latino,Not Hispanic or Latino,The text for reporting information about ethnicity based on the Office,CTDC,1.22.2-5c0d1c3,demographic
ethnicity,Not reported,Not reported,The text for reporting information about ethnicity based on the Office,CTDC,1.22.2-5c0d1c3,demographic
ethnicity,Unknown,Unknown,The text for reporting information about ethnicity based on the Office,CTDC,1.22.2-5c0d1c3,demographic
sex,Female,Female,A textual description of a person's sex at birth. CDE ID = 7572817,CTDC,1.22.2-5c0d1c3,demographic
sex,Intersex,Intersex,A textual description of a person's sex at birth. CDE ID = 7572817,CTDC,1.22.2-5c0d1c3,demographic
sex,Male,Male,A textual description of a person's sex at birth. CDE ID = 7572817,CTDC,1.22.2-5c0d1c3,demographic
sex,Unknown,Unknown,A textual description of a person's sex at birth. CDE ID = 7572817,CTDC,1.22.2-5c0d1c3,demographic
highest_level_of_education,No formal education,No formal education,An indication as to the highest level of education attained by,CTDC,1.22.2-5c0d1c3,demographic
highest_level_of_education,Grade school,Grade school,An indication as to the highest level of education attained by,CTDC,1.22.2-5c0d1c3,demographic
highest_level_of_education,Not high school graduate,Not high school graduate,An indication as to the highest level of education attained by,CTDC,1.22.2-5c0d1c3,demographic
highest_level_of_education,High school graduate (including equivalency),High school graduate (including equivalency),An indication as to the highest level of education attained by,CTDC,1.22.2-5c0d1c3,demographic
highest_level_of_education,Some college or Associate degree,Some college or Associate degree,An indication as to the highest level of education attained by,CTDC,1.22.2-5c0d1c3,demographic
highest_level_of_education,Bachelor's degree,Bachelor's degree,An indication as to the highest level of education attained by,CTDC,1.22.2-5c0d1c3,demographic
highest_level_of_education,Master's degree,Master's degree,An indication as to the highest level of education attained by,CTDC,1.22.2-5c0d1c3,demographic
highest_level_of_education,Doctoral or professional degree,Doctoral or professional degree,An indication as to the highest level of education attained by,CTDC,1.22.2-5c0d1c3,demographic
highest_level_of_education,Declined to answer,Declined to answer,An indication as to the highest level of education attained by,CTDC,1.22.2-5c0d1c3,demographic
highest_level_of_education,NA,NA,An indication as to the highest level of education attained by,CTDC,1.22.2-5c0d1c3,demographic
environmental_exposure_type,Asbestos Exposure,Asbestos Exposure,"The category related to contact with chemical, biological, or physical",CTDC,1.22.2-5c0d1c3,exposure
environmental_exposure_type,Chemical Exposure,Chemical Exposure,"The category related to contact with chemical, biological, or physical",CTDC,1.22.2-5c0d1c3,exposure
environmental_exposure_type,Marijuana Smoke Exposure,Marijuana Smoke Exposure,"The category related to contact with chemical, biological, or physical",CTDC,1.22.2-5c0d1c3,exposure
environmental_exposure_type,Radiation Exposure,Radiation Exposure,"The category related to contact with chemical, biological, or physical",CTDC,1.22.2-5c0d1c3,exposure
environmental_exposure_type,Radon Exposure,Radon Exposure,"The category related to contact with chemical, biological, or physical",CTDC,1.22.2-5c0d1c3,exposure
environmental_exposure_type,Respirable Crystalline Silica Exposure,Respirable Crystalline Silica Exposure,"The category related to contact with chemical, biological, or physical",CTDC,1.22.2-5c0d1c3,exposure
environmental_exposure_type,Smoke Exposure,Smoke Exposure,"The category related to contact with chemical, biological, or physical",CTDC,1.22.2-5c0d1c3,exposure
environmental_exposure_type,Smokeless Tobacco Exposure,Smokeless Tobacco Exposure,"The category related to contact with chemical, biological, or physical",CTDC,1.22.2-5c0d1c3,exposure
environmental_exposure_type,Tobacco Related Exposure,Tobacco Related Exposure,"The category related to contact with chemical, biological, or physical",CTDC,1.22.2-5c0d1c3,exposure
environmental_exposure_type,Wood Dust Exposure,Wood Dust Exposure,"The category related to contact with chemical, biological, or physical",CTDC,1.22.2-5c0d1c3,exposure
carcinogen_exposure,Yes,Yes,An indication of whether the participant was exposed to environmental/workplace,CTDC,1.22.2-5c0d1c3,exposure
carcinogen_exposure,No,No,An indication of whether the participant was exposed to environmental/workplace,CTDC,1.22.2-5c0d1c3,exposure
carcinogen_exposure,Unknown,Unknown,An indication of whether the participant was exposed to environmental/workplace,CTDC,1.22.2-5c0d1c3,exposure
carcinogen_exposure,NA,NA,An indication of whether the participant was exposed to environmental/workplace,CTDC,1.22.2-5c0d1c3,exposure
diagnosis_classification_system,NCI Thesaurus,NCI Thesaurus,The standard or agency upon which the specific term used as the diagnosis value was obtained.,CTDC,1.22.2-5c0d1c3,diagnosis
diagnosis_classification_system,MedDRA,MedDRA,The standard or agency upon which the specific term used as the diagnosis value was obtained.,CTDC,1.22.2-5c0d1c3,diagnosis
diagnosis_classification_system,ICD-O-3,ICD-O-3,The standard or agency upon which the specific term used as the diagnosis value was obtained.,CTDC,1.22.2-5c0d1c3,diagnosis
diagnosis_classification_system,ICD-10-CM,ICD-10-CM,The standard or agency upon which the specific term used as the diagnosis value was obtained.,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,"Colorectal cancer, NOS","Colorectal cancer, NOS",A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,"Acute myeloid leukemia, NOS","Acute myeloid leukemia, NOS",A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,Adenocarcinoma of the gastroesophageal junction,Adenocarcinoma of the gastroesophageal junction,A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,Melanoma,Melanoma,A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,"Myeloma, NOS","Myeloma, NOS",A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,"Non-small cell lung cancer, NOS","Non-small cell lung cancer, NOS",A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,"Prostate cancer, NOS","Prostate cancer, NOS",A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,Small cell lung cancer,Small cell lung cancer,A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,Invasive breast carcinoma,Invasive breast carcinoma,A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,Fallopian tube carcinoma,Fallopian tube carcinoma,A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,"Gastric cancer, NOS","Gastric cancer, NOS",A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,Primary peritoneal carcinoma,Primary peritoneal carcinoma,A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,"Esophageal cancer, NOS","Esophageal cancer, NOS",A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
primary_diagnosis_disease_group,Ovarian epithelial cancer,Ovarian epithelial cancer,A term describing the main condition for evaluation and treatment as captured,CTDC,1.22.2-5c0d1c3,diagnosis
ctep_disease_term,Acute Myeloid Leukemia Not Otherwise Specified,Acute Myeloid Leukemia Not Otherwise Specified,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,CTDC,1.22.2-5c0d1c3,diagnosis
ctep_disease_term,Adenocarcinoma of the Gastroesophageal Junction,Adenocarcinoma of the Gastroesophageal Junction,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,CTDC,1.22.2-5c0d1c3,diagnosis
ctep_disease_term,Colorectal Carcinoma,Colorectal Carcinoma,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,CTDC,1.22.2-5c0d1c3,diagnosis
ctep_disease_term,Gastric Carcinoma,Gastric Carcinoma,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,CTDC,1.22.2-5c0d1c3,diagnosis
ctep_disease_term,Invasive Breast Carcinoma,Invasive Breast Carcinoma,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,CTDC,1.22.2-5c0d1c3,diagnosis
ctep_disease_term,Melanoma,Melanoma,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,CTDC,1.22.2-5c0d1c3,diagnosis
ctep_disease_term,Non-Small Cell Lung Carcinoma,Non-Small Cell Lung Carcinoma,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,CTDC,1.22.2-5c0d1c3,diagnosis
ctep_disease_term,Ovarian Carcinoma,Ovarian Carcinoma,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,CTDC,1.22.2-5c0d1c3,diagnosis
ctep_disease_term,Plasma Cell Myeloma,Plasma Cell Myeloma,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,CTDC,1.22.2-5c0d1c3,diagnosis
ctep_disease_term,Prostate Carcinoma,Prostate Carcinoma,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,CTDC,1.22.2-5c0d1c3,diagnosis
ctep_disease_term,Small Cell Lung Carcinoma,Small Cell Lung Carcinoma,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,CTDC,1.22.2-5c0d1c3,diagnosis
ctep_disease_term,Esophageal Carcinoma,Esophageal Carcinoma,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,CTDC,1.22.2-5c0d1c3,diagnosis
ctep_disease_term,Fallopian Tube Carcinoma,Fallopian Tube Carcinoma,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,CTDC,1.22.2-5c0d1c3,diagnosis
meddra_disease_code,10000884,10000884,The MedDRA code describing a medical condition and/or anatomic location.,CTDC,1.22.2-5c0d1c3,diagnosis
meddra_disease_code,10066354,10066354,The MedDRA code describing a medical condition and/or anatomic location.,CTDC,1.22.2-5c0d1c3,diagnosis
meddra_disease_code,10010029,10010029,The MedDRA code describing a medical condition and/or anatomic location.,CTDC,1.22.2-5c0d1c3,diagnosis
meddra_disease_code,10006190,10006190,The MedDRA code describing a medical condition and/or anatomic location.,CTDC,1.22.2-5c0d1c3,diagnosis
meddra_disease_code,10053571,10053571,The MedDRA code describing a medical condition and/or anatomic location.,CTDC,1.22.2-5c0d1c3,diagnosis
meddra_disease_code,10029514,10029514,The MedDRA code describing a medical condition and/or anatomic location.,CTDC,1.22.2-5c0d1c3,diagnosis
meddra_disease_code,10033159,10033159,The MedDRA code describing a medical condition and/or anatomic location.,CTDC,1.22.2-5c0d1c3,diagnosis
meddra_disease_code,10028566,10028566,The MedDRA code describing a medical condition and/or anatomic location.,CTDC,1.22.2-5c0d1c3,diagnosis
meddra_disease_code,10036910,10036910,The MedDRA code describing a medical condition and/or anatomic location.,CTDC,1.22.2-5c0d1c3,diagnosis
meddra_disease_code,10041071,10041071,The MedDRA code describing a medical condition and/or anatomic location.,CTDC,1.22.2-5c0d1c3,diagnosis
meddra_disease_code,10017760,10017760,The MedDRA code describing a medical condition and/or anatomic location.,CTDC,1.22.2-5c0d1c3,diagnosis
meddra_disease_code,10030157,10030157,The MedDRA code describing a medical condition and/or anatomic location.,CTDC,1.22.2-5c0d1c3,diagnosis
meddra_disease_code,10016180,10016180,The MedDRA code describing a medical condition and/or anatomic location.,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Acute Myeloid Leukemia with Myelodysplasia-Related Changes,Acute Myeloid Leukemia with Myelodysplasia-Related Changes,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome,Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Adenocarcinoma,Adenocarcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Amelanotic Melanoma,Amelanotic Melanoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Breast Carcinoma,Breast Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Colon Adenoma,Colon Adenoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Colon Carcinoma,Colon Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Colorectal Adenocarcinoma,Colorectal Adenocarcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Cutaneous Melanoma,Cutaneous Melanoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Epithelioid Cell Melanoma,Epithelioid Cell Melanoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Esophageal Adenocarcinoma,Esophageal Adenocarcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Esophageal Carcinoma,Esophageal Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Fallopian Tube Carcinoma,Fallopian Tube Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Gastric Adenocarcinoma,Gastric Adenocarcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,"Invasive Ductal Carcinoma, Not Otherwise Specified","Invasive Ductal Carcinoma, Not Otherwise Specified",Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Invasive Lobular Breast Carcinoma,Invasive Lobular Breast Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Lung Carcinoma,Lung Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Lung Papillary Adenoma,Lung Papillary Adenoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Lung Adenocarcinoma,Lung Adenocarcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Malignant neoplasm of ovary,Malignant neoplasm of ovary,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Melanoma,Melanoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Mucinous Adenocarcinoma,Mucinous Adenocarcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Multiple myeloma,Multiple myeloma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Multiple myeloma and immunoproliferative disease,Multiple myeloma and immunoproliferative disease,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Neuroendocrine Carcinoma,Neuroendocrine Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Nodular Melanoma,Nodular Melanoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Non-Small Cell Lung Carcinoma,Non-Small Cell Lung Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Ovarian Carcinoma,Ovarian Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Plasma Cell Leukemia,Plasma Cell Leukemia,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Plasma Cell Myeloma,Plasma Cell Myeloma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Prostate Adenocarcinoma,Prostate Adenocarcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Prostate Carcinoma,Prostate Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Rectal Adenoma,Rectal Adenoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Rectal Carcinoma,Rectal Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Small Cell Carcinoma,Small Cell Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Small Cell Lung Carcinoma,Small Cell Lung Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Squamous Cell Carcinoma,Squamous Cell Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Squamous Cell Lung Carcinoma,Squamous Cell Lung Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Superficial Spreading Melanoma,Superficial Spreading Melanoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Triple-Negative Breast Carcinoma,Triple-Negative Breast Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Anal Carcinoma,Anal Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Invasive Ductal Carcinoma,Invasive Ductal Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Mixed Lobular and Ductal Breast Carcinoma,Mixed Lobular and Ductal Breast Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_term,Female Breast Carcinoma,Female Breast Carcinoma,Description pending,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,17788007,17788007,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,445448008,445448008,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,128827005,128827005,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,35917007,35917007,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,443961001,443961001,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,70594002,70594002,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,254838004,254838004,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,428054006,428054006,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,269533000,269533000,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,408645001,408645001,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,93655004,93655004,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,37138001,37138001,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,276803003,276803003,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,372138000,372138000,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,276870001,276870001,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,408647009,408647009,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,408643008,408643008,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,89740008,89740008,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,254626006,254626006,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,448993007,448993007,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,24482001,24482001,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,254849005,254849005,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,2092003,2092003,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,372244006,372244006,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
snomed_disease_code,72495009,72495009,A 9-digit numerical code for the primary disease with which the participant,CTDC,1.22.2-5c0d1c3,diagnosis
